Date,Number_of_Transactions,Number_of_Coinbase_Transactions,Coinbase_Transactions_Output_Total,Number_of_Zero_Fee_Transactions,Total_Size_of_Transactions,Mean_Size_of_Transactions,Median_Size_of_Transactions,StdDev_Size_of_Transactions,Total_Weight_of_Transactions,Mean_Weight_of_Transactions,Median_Weight_of_Transactions,StdDev_Weight_of_Transactions,Total_Input_Count,Mean_Input_Count,Median_Input_Count,StdDev_Input_Count,Total_Output_Count,Mean_Output_Count,Median_Output_Count,StdDev_Output_Count,Total_Input_Total,Mean_Input_Total,Median_Input_Total,StdDev_Input_Total,Total_Output_Total,Mean_Output_Total,Median_Output_Total,StdDev_Output_Total,Total_Fees,Mean_Fees,Median_Fees,StdDev_Fees,Fee_per_KB
28/10/2019 00:00,309611,134,1.71298E+11,136,160920997,519.7521955,249,2414.032906,507408572,1638.858348,896,7127.572638,742640,2.398622788,1,12.63716322,762730,2.463510663,2,15.55798543,1.94244E+14,627380419.3,3093211,25790651959,1.94411E+14,627921420.7,3092837,25790649780,3798415405,12268.34772,5526,64833.07594,23604.2249
29/10/2019 00:00,307953,133,1.69797E+11,135,154169311,500.6261053,249,2512.843466,481570592,1563.779512,896,6838.588267,701973,2.27948096,1,12.44592606,752884,2.444801642,2,14.85237878,1.50011E+14,487122518.9,3118673,10450018878,1.50177E+14,487662374,3120271,10450024198,3547022733,11518.0652,5250,63359.61701,23007.32039
30/10/2019 00:00,314163,134,1.70865E+11,136,147284782,468.8164488,249,1830.837649,472928288,1505.3596,896,5875.718302,680065,2.164688394,1,10.18839983,770151,2.45143763,2,14.64815429,2.0222E+14,643677457.1,2986972,12341421696,2.02387E+14,644210619.8,2987829,12341417827,3365141019,10711.44921,4966,57058.41526,22847.8528
31/10/2019 00:00,293779,132,1.68547E+11,134,142670316,485.6382383,249,2057.744431,455134296,1549.240402,896,6425.620121,663154,2.257322681,1,11.6574017,731007,2.488288816,2,15.93921184,1.41423E+14,481392175.2,3337622,9625091793,1.41588E+14,481953821.9,3339208,9625097955,3546517509,12072.0593,5600,64931.95357,24858.13173
01/11/2019 00:00,316187,130,1.66519E+11,132,161331288,510.2401047,248,2462.156802,508988260,1609.769725,896,7138.106135,760686,2.405810486,1,13.9599947,779510,2.465344875,2,15.11973118,1.25173E+14,395881764.6,3645957,9590251794,1.25335E+14,396395700.9,3646428,9590262408,4018774408,12710.11904,6102,62917.38623,24910.07453
02/11/2019 00:00,284443,134,1.70269E+11,136,132595845,466.1596348,250,1917.66338,416761141,1465.183327,892,5944.438956,607057,2.134195603,1,10.75714639,706008,2.482071979,2,15.65405635,8.44229E+13,296800811.2,2361086,5258196442,8.45904E+13,297389681.4,2362780,5258232826,2769024942,9734.902747,4632,62135.30848,20883.19541
03/11/2019 00:00,294367,138,1.75107E+11,140,133800515,454.536395,249,1858.901978,425941826,1446.975463,892,6172.154244,618920,2.102545462,1,10.63346368,712450,2.420278088,2,15.85513077,8.25441E+13,280412333.1,2196544,4357980159,8.27166E+13,280998336.3,2195688,4358026458,2606616560,8854.989044,4231,55657.46808,19481.36418
04/11/2019 00:00,310979,132,1.69829E+11,134,153778492,494.497995,248,2227.316464,478089511,1537.369118,896,6310.925494,706857,2.273005573,1,11.36399587,769612,2.474803765,2,15.28502026,9.47926E+13,304819973.8,4015741,4482245843,9.49576E+13,305350556.3,4020560,4482284777,4828785176,15527.68893,6513,87900.93634,31400.91383
05/11/2019 00:00,332839,144,1.84373E+11,147,163790016,492.0998321,249,2204.138996,514724292,1546.466286,896,6726.4217,768881,2.310068832,1,12.55965201,817024,2.454712338,2,14.71764596,1.15955E+14,348380246.5,3840000,19921591503,1.16135E+14,348921048.6,3847048,19921599020,4373232482,13139.18285,6578,63929.94662,26700.23844
06/11/2019 00:00,314698,132,1.68867E+11,134,168134904,534.2738244,249,3080.336853,520115040,1652.743392,896,8363.54689,801513,2.546927531,1,17.64903856,780708,2.480816529,2,15.5456197,1.40772E+14,447322950.5,3500495.5,10883462962,1.40937E+14,447847262.7,3501565.5,10883470142,3866539842,12286.5091,5845,64176.08961,22996.6518
